cc,title,turl,img,label
0,This App Will Teach You Spanish in 3 Weeks & It's Free to Try!,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg,C:/Users/teo/Desktop/deeplab/dataset/images2\1_0_-4416016469388839943.jpg,1
1,Want to Learn a New Language? Try the #1 Selling Language App!,http://cdn.taboola.com/static/02/02e6e18b-f6f2-4c2f-9a0a-b918cf6fb97a.png!-#@1017x683,C:/Users/teo/Desktop/deeplab/dataset/images2\1_1_-3673414655321898241.jpg,1
2,Want to Learn a New Language? Try the #1 Selling Language App!,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785,C:/Users/teo/Desktop/deeplab/dataset/images2\1_2_1822361422379226510.jpg,1
3,Heres the app you need to learn a new language -- try it now for free!,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785,C:/Users/teo/Desktop/deeplab/dataset/images2\1_3_1822361422379226510.jpg,1
4,1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785,C:/Users/teo/Desktop/deeplab/dataset/images2\1_4_1822361422379226510.jpg,1
5,1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!,http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg,C:/Users/teo/Desktop/deeplab/dataset/images2\1_5_7120530738946192667.jpg,1
6,Heres the app you need to learn a new language -- try it now for free!,http://cdn.taboola.com/static/02/02e6e18b-f6f2-4c2f-9a0a-b918cf6fb97a.png!-#@1017x683,C:/Users/teo/Desktop/deeplab/dataset/images2\1_6_-3673414655321898241.jpg,1
7,Heres the app you need to learn a new language -- try it now for free!,http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg,C:/Users/teo/Desktop/deeplab/dataset/images2\1_7_7120530738946192667.jpg,1
8,1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!,http://cdn.taboola.com/static/23/237733ea-cfc1-4f64-bced-e28e5b31c801.png,C:/Users/teo/Desktop/deeplab/dataset/images2\1_8_-4335113643265852997.jpg,1
9,1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!,http://cdn.taboola.com/static/02/02e6e18b-f6f2-4c2f-9a0a-b918cf6fb97a.png!-#@1017x683,C:/Users/teo/Desktop/deeplab/dataset/images2\1_9_-3673414655321898241.jpg,1
10,This App Will Teach You Spanish in 3 Weeks & It's Free to Try!,http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg,C:/Users/teo/Desktop/deeplab/dataset/images2\1_10_7120530738946192667.jpg,1
11,Want to Learn a New Language? This App's for You!,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785,C:/Users/teo/Desktop/deeplab/dataset/images2\1_11_1822361422379226510.jpg,1
12,Heres the app you need to learn a new language -- try it now for free!,http://cdn.taboola.com/static/23/237733ea-cfc1-4f64-bced-e28e5b31c801.png,C:/Users/teo/Desktop/deeplab/dataset/images2\1_12_-4335113643265852997.jpg,1
13,Heres the app you need to learn a new language -- try it now for free!,http://cdn.taboola.com/static/d8/d8487d0a-b7de-4e8c-a47e-8136b80e96fe.png!-#@634x438,C:/Users/teo/Desktop/deeplab/dataset/images2\1_13_4234190220978922639.jpg,1
14,Want to Learn a New Language? This App's for You!,http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg,C:/Users/teo/Desktop/deeplab/dataset/images2\1_14_7120530738946192667.jpg,1
