cc;title;turl;label
0;This App Will Teach You Spanish in 3 Weeks & It's Free to Try!;http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg;1
1;Want to Learn a New Language? Try the #1 Selling Language App!;http://cdn.taboola.com/static/02/02e6e18b-f6f2-4c2f-9a0a-b918cf6fb97a.png!-#@1017x683;1
2;Want to Learn a New Language? Try the #1 Selling Language App!;http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785;1
3;Heres the app you need to learn a new language -- try it now for free!;http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785;1
4;1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!;http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785;1
5;1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!;http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg;1
6;Heres the app you need to learn a new language -- try it now for free!;http://cdn.taboola.com/static/02/02e6e18b-f6f2-4c2f-9a0a-b918cf6fb97a.png!-#@1017x683;1
7;Heres the app you need to learn a new language -- try it now for free!;http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg;1
8;1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!;http://cdn.taboola.com/static/23/237733ea-cfc1-4f64-bced-e28e5b31c801.png;1
9;1 Million People Are Using This App to Learn a New Language in Just 3 Weeks -- try it now for free!;http://cdn.taboola.com/static/02/02e6e18b-f6f2-4c2f-9a0a-b918cf6fb97a.png!-#@1017x683;1
10;This App Will Teach You Spanish in 3 Weeks & It's Free to Try!;http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg;1
